City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,fale old settlement,-9.3852,-171.2468,301.52,78,23,5.19,TK,1727212251
111,uturoa,-16.7333,-151.4333,299.55,76,85,4.15,PF,1727212252
112,quellon,-43.1167,-73.6167,281.24,62,72,5.32,CL,1727212253
113,ust-nera,64.5667,143.2,270.82,83,100,3.75,RU,1727212254
114,yacimiento rio turbio,-51.5732,-72.3508,272.81,60,75,6.69,AR,1727212255
115,arteche,12.2645,125.4048,299.61,89,100,1.42,PH,1727212256
116,sosnovka,56.255,51.2842,277.98,63,74,1.31,RU,1727212257
117,dryden,49.7833,-92.7503,290.61,53,95,3.11,CA,1727212259
118,pacific grove,36.6177,-121.9166,297.21,82,0,2.68,US,1727212260
119,labasa,-16.4167,179.3833,297.99,75,96,3.64,FJ,1727212261
120,hasaki,35.7333,140.8333,296.78,59,100,8.64,JP,1727212262
121,port augusta,-32.5,137.7667,286.38,93,55,4.06,AU,1727212264
122,xilin hot,43.9667,116.0333,279.74,93,14,1.93,CN,1727212266
123,sibut,5.718,19.0739,294.62,96,25,0.4,CF,1727212267
124,ketchikan,55.3422,-131.6461,286.67,84,100,1.95,US,1727212268
125,ilulissat,69.2167,-51.1,279.16,65,96,0.0,GL,1727212269
126,harstad,68.799,16.5293,279.35,94,86,7.15,NO,1727212270
127,katabu,-4.9333,122.5167,296.69,96,21,1.75,ID,1727212271
128,vilyuysk,63.7553,121.6247,279.96,91,100,3.42,RU,1727212272
129,argo,37.6333,22.7333,294.73,64,0,0.6,GR,1727212273
130,laborde,-33.1532,-62.8566,298.72,36,10,5.46,AR,1727212275
131,togur,58.3631,82.8265,275.46,97,100,4.23,RU,1727212276
132,san antonio de pale,-1.4014,5.6325,297.98,82,44,4.81,GQ,1727212277
133,nar'yan-mar,67.6713,53.087,272.33,77,13,2.59,RU,1727212278
134,port lincoln,-34.7333,135.8667,285.95,94,87,3.11,AU,1727212279
135,jianshui,23.6363,102.8264,290.83,95,70,1.59,CN,1727212280
136,remire-montjoly,4.9167,-52.2667,303.17,70,0,5.14,GF,1727212281
137,east london,-33.0153,27.9116,293.5,76,58,7.11,ZA,1727212283
138,colonia,50.9333,6.95,289.23,88,75,3.6,DE,1727212284
139,salinopolis,-0.6136,-47.3561,299.8,82,32,6.66,BR,1727212285
140,sitka,57.0531,-135.33,286.09,71,75,3.6,US,1727212286
141,fuerte olimpo,-21.0415,-57.8738,315.56,12,33,3.13,PY,1727212287
142,yerofey pavlovich,53.9667,121.9667,277.8,89,0,0.96,RU,1727212288
143,honefoss,60.168,10.2565,284.6,98,100,1.19,NO,1727212289
144,hohhot,40.8106,111.6522,286.03,72,65,2.31,CN,1727212290
145,belle fourche,44.6714,-103.8522,299.86,27,0,6.56,US,1727212292
146,albany,42.6001,-73.9662,292.29,61,53,0.89,US,1727212293
147,holualoa,19.6228,-155.9522,300.68,68,20,5.14,US,1727212294
148,vila franca do campo,37.7167,-25.4333,297.38,89,76,5.86,PT,1727212295
149,santo antonio,-6.3106,-35.4789,297.24,67,3,6.94,BR,1727212296
150,jackson,42.4165,-122.8345,308.16,26,0,2.57,US,1727212297
151,hayden,47.766,-116.7866,301.43,37,0,0.89,US,1727212253
152,ingeniero jacobacci,-41.3427,-69.5448,281.66,38,53,12.21,AR,1727212301
153,torghay,49.6339,63.4981,281.16,41,100,3.96,KZ,1727212302
154,lebu,-37.6167,-73.65,284.3,68,8,2.94,CL,1727212303
155,avarua,-21.2078,-159.775,298.18,88,75,4.12,CK,1727212304
156,waingapu,-9.6567,120.2641,299.29,84,7,1.64,ID,1727212305
157,kingsford,-33.924,151.2275,293.79,57,100,4.0,AU,1727212306
158,port elizabeth,-33.918,25.5701,290.55,96,100,4.02,ZA,1727212307
159,caluula,11.9661,50.7569,301.77,69,3,2.33,SO,1727212308
160,taipei,25.0478,121.5319,299.84,59,100,0.89,TW,1727212109
161,cavelossim,15.1726,73.9419,298.7,92,100,4.7,IN,1727212311
162,presidente olegario,-18.4178,-46.4181,302.18,22,34,3.13,BR,1727212312
163,rio grande,-32.035,-52.0986,291.9,95,100,4.12,BR,1727212313
164,kabo,7.6994,18.629,293.96,96,46,0.58,CF,1727212314
165,sidney,-33.8679,151.2073,293.55,57,100,3.2,AU,1727212176
166,nemuro,43.3236,145.575,286.65,74,14,4.78,JP,1727212316
167,barhiya,25.2833,86.0333,301.42,76,97,2.79,IN,1727212317
168,wankyi,7.7392,-2.1046,296.27,88,69,1.05,GH,1727212318
169,igrim,63.1906,64.4162,274.75,63,18,5.91,RU,1727212320
170,margaret river,-33.95,115.0667,279.17,82,5,3.75,AU,1727212107
171,geraldton,-28.7667,114.6,282.38,100,0,3.09,AU,1727212322
172,selfoss,63.9331,-20.9971,276.51,72,41,6.81,IS,1727212323
173,shar,49.5886,81.0453,279.53,36,15,1.44,KZ,1727212324
174,sechura,-5.5569,-80.8222,297.64,59,15,7.15,PE,1727212325
175,hawaiian paradise park,19.5933,-154.9731,301.41,72,20,1.54,US,1727212326
176,broken hill,-31.95,141.4333,289.64,78,100,3.47,AU,1727212327
177,santa terezinha,-29.9002,-50.0904,291.67,95,40,5.48,BR,1727212329
178,alvand,36.3187,49.1678,285.81,74,13,3.09,IR,1727212330
179,usogorsk,63.4106,48.6872,275.18,76,50,1.56,RU,1727212331
180,san pedro pochutla,15.7333,-96.4667,296.32,98,100,1.14,MX,1727212332
181,cruz alta,-28.6386,-53.6064,301.61,62,10,0.38,BR,1727212264
182,tsiombe,-25.3,45.4833,293.39,88,48,5.13,MG,1727212336
183,soni,-4.85,38.3667,288.65,88,75,1.09,TZ,1727212337
184,kendari,-3.945,122.4989,297.08,96,51,0.47,ID,1727212338
185,crane,31.3974,-102.3501,305.09,33,1,3.6,US,1727212339
186,el nido,11.1858,119.3956,299.34,94,96,1.34,PH,1727212340
187,friedrichroda,50.8575,10.5651,286.11,89,100,5.41,DE,1727212341
188,alofi,-19.0595,-169.9187,296.09,88,100,4.12,NU,1727212343
189,mangai,-4.05,19.5333,296.12,79,68,1.31,CD,1727212344
190,chimbote,-9.0853,-78.5783,292.14,80,59,4.89,PE,1727212345
191,termas de rio hondo,-27.4998,-64.8604,299.54,38,6,3.71,AR,1727212346
192,vorgashor,67.5833,63.95,273.16,89,99,11.37,RU,1727212347
